participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.infected,player.cumulative_earnings,player.actual_payment,player.transmission_chance,player.contribution,player.others_contribution_percentage,player.timeout,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,player.others_prediction,player.payoff,group.id_in_subsession,group.total_contribution,group.contribution_percentage,group.total_infections,group.end_total_infections,group.total_earnings,group.average_earnings,group.lockdown,group.lockdown_round,group.lockdown_number,group.lockdown_cost,group.patient_zero_switch,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,0,0,0,0,57.5,0,,,,,,0,0,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,0,130,30,0,3,50,0,1,1,3,3,4,3,70,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,0,160,20,0,2,52.5,0,3,3,2,2,1,2,80,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,1,0,,0,4,55,1,,,,,,,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,0,240,20,0,2,60,0,4,4,1,1,0,1,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,0,150,,0,4,55,1,1,2,3,3,4,2,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,3,,0,0,,0,4,55,1,,,,,,,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,10,,0,230,20,0,2,60,0,2,2,2,1,1,2,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,2,,0,260,20,0,2,60,0,3,3,2,1,0,2,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,5,,0,290,0,0,0,65,0,0,1,1,3,4,1,100,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,1,,0,0,,0,4,55,1,,,,,,,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,100,0,0,0,65,0,0,0,0,0,0,0,100,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,0,210,20,0,2,60,0,0,1,2,3,4,3,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,0,240,20,0,2,60,0,3,3,2,2,1,2,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,0,0,,0,4,50,1,,,,,,,0,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,1,320,20,0.25,2,55,0,4,4,2,1,0,1,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,0,230,20,0.25,2,55,0,1,2,3,3,4,2,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,3,,0,0,,0,4,50,1,,,,,,,0,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,10,,0,300,30,0.12,3,52.5,0,3,3,3,3,2,3,70,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,2,,1,350,10,0.38,1,57.5,0,3,3,2,1,0,2,90,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,5,,0,390,0,0.5,0,60,0,0,1,2,3,4,1,100,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,1,,0,0,,0,4,50,1,,,,,,,0,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,200,0,0.5,0,60,0,0,0,0,0,0,0,100,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,1,290,20,0,2,55,0,1,1,2,3,4,2,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,0,320,20,0.25,2,55,0,3,3,2,2,1,2,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,0,0,,0,4,77.5,1,,,,,,2,0,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,1,390,30,0,3,80,0,4,4,3,2,1,3,70,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,0,300,30,0.12,3,80,0,1,2,3,3,4,3,70,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,3,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,10,,0,360,40,0,4,77.5,0,4,4,4,4,4,3,60,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,2,,1,420,30,0,3,80,0,4,3,2,2,0,1,70,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,5,,0,470,20,0.25,2,82.5,0,0,1,3,4,4,2,80,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,1,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,280,20,0.25,2,82.5,0,2,2,2,2,2,2,80,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,1,350,40,0,4,77.5,0,0,1,2,3,4,4,60,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,0,400,20,0.25,2,82.5,0,3,3,2,2,1,2,80,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,1,470,20,0,2,82.5,0,4,4,2,2,0,1,80,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,0,370,30,0.19,3,80,0,1,2,3,3,4,3,70,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,3,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,10,,0,430,30,0.19,3,80,0,4,4,4,4,3,3,70,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,2,,1,490,30,0,3,80,0,4,3,2,2,0,2,70,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,5,,0,550,20,0.38,2,82.5,0,0,1,3,4,4,2,80,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,1,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,280,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,1,410,40,0,4,77.5,0,1,1,3,3,4,4,60,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,1,480,20,0.38,2,82.5,0,3,3,2,2,1,2,80,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,1,550,20,0,2,82.5,0,4,4,4,3,2,3,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,1,450,20,0.5,2,82.5,0,1,2,3,3,4,2,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,3,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,10,,0,490,40,0,4,77.5,0,4,4,4,4,4,3,60,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,2,,1,560,30,0,3,80,0,4,3,2,2,0,3,70,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,5,,0,630,20,0.5,2,82.5,0,0,1,3,4,4,2,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,1,,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,280,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,1,470,40,0,4,77.5,0,4,4,4,4,4,2,60,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,1,560,20,0,2,82.5,0,3,3,2,2,1,2,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,0,0,,0,4,85,1,,,,,,,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,1,620,30,0,3,87.5,0,4,4,4,3,3,3,70,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,1,520,30,0,3,87.5,0,1,2,3,3,4,3,70,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
4,u6y8sx1v,5af17e5d3c1f670001a4570e,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.489940+00:00,1,,,270,3,,0,0,,0,4,85,1,,,,,,,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
5,wfpzt5z0,5d2464b812b27400011db6e7,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.743958+00:00,1,,,2120,10,,0,550,40,0,4,85,0,4,4,4,4,4,4,60,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
6,nwr8ut6o,5ca0de7d8001d50018c69031,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.838229+00:00,1,,,2340,2,,1,620,40,0,4,85,0,4,3,3,2,0,3,60,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
7,wv2ypvol,5b88002a7bb9e90001f0703f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.572245+00:00,1,,,2750,5,,0,700,30,0.25,3,87.5,0,1,2,3,4,4,3,70,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
8,hhasem8p,5b1d413544127b00013fea42,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.618045+00:00,1,,,270,1,,0,0,,0,4,85,1,,,,,,,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
9,ri3991uw,5ef3087637ccf9000bbacd57,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.099646+00:00,1,,,1980,7,,0,280,30,0.25,3,87.5,0,,,,,,3,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
10,7fuuovrt,5e49c48fac17f4000c1bfcbc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:21.553918+00:00,1,,,2120,6,,1,530,40,0,4,85,0,4,4,4,4,4,3,60,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
11,mhnrlki6,5f8c5fe7018e5908ef6f1b1f,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:22.106304+00:00,1,,,2460,11,,1,640,20,0,2,90,0,3,3,2,2,1,3,80,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,,,,,0
1,xmo6y9j4,58d283fcbfaa440001d1f097,0,445,446,end_survey,Feedback,2021-01-20 11:35:20.286495+00:00,1,,,270,4,,0,0,,0,4,75,1,,,,,,,0,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,,,,,0
2,ics99vz6,5d3cb6625ca28800166c8ffc,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.442093+00:00,1,,,2580,9,,1,690,30,0,3,77.5,0,4,4,4,3,3,2,70,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,,,,,0
3,ca56z2zv,5f215ed0456c964f5f1e408d,0,446,446,payment_info,PaymentInfo,2021-01-20 11:35:20.378888+00:00,1,,,2410,8,,1,600,20,0,2,80,0,1,2,3,3,4,3,80,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,,,,,0
