participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.infected,player.cumulative_earnings,player.my_endowment,player.actual_payment,player.transmission_chance,player.contribution,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,player.payoff,group.id_in_subsession,group.total_contribution,group.contribution_percentage,group.total_infections,group.end_total_infections,group.total_earnings,group.average_earnings,group.lockdown,group.lockdown_round,group.lockdown_number,group.number_of_players,group.patient_zero_switch,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,1,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,3,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,1,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,1,4,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,1,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,40,100.0,1,1,0,0,0,0,0,10,0,5,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,0,0,100,30,0.0,3,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,1,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,60,100,40,0.0,4,3,3,3,3,3,60,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,39,97.5,1,1,60,6,0,0,0,10,0,6,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,1,100,100,0,1.0,0,3,3,3,2,1,100,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,1,0,100,0,0.0,0,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,1,0,100,0,1.0,0,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,1,60,100,20,0.5,2,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,1,0,100,20,0.5,2,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,1,0,100,20,0.5,2,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,0,0,100,40,0.0,4,5,5,5,5,5,0,2,22,55.0,1,6,100,10,0,0,0,10,0,7,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,0,130,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,90,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,1,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,0,30,100,,,0,,,,,,30,2,0,0.0,6,1,300,30,1,1,1,10,1,8,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,0,130,100,40,0.0,4,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,0,30,100,40,0.0,4,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,30,100,40,0.0,4,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,90,100,40,0.0,4,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,1,30,100,0,1.0,0,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,1,30,100,0,1.0,0,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,1,30,100,0,1.0,0,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,1,30,100,0,1.0,0,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,1,30,100,0,1.0,0,5,5,5,5,5,0,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,1,130,100,0,0.0,0,0,0,0,0,0,100,2,16,40.0,1,6,100,10,0,0,1,10,0,9,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,0,160,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,0,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,120,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,1,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,1,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
7,u31rey5q,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.225362+00:00,1,,,78,10,,1,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
8,3lsacs4i,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:44.665778+00:00,1,,,108,7,,1,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
9,q0rkrasf,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.105238+00:00,1,,,108,3,,1,60,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
10,rbwyvjpk,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:45.626724+00:00,1,,,178,1,,1,160,100,,,0,,,,,,30,2,0,0.0,6,6,300,30,1,1,2,10,0,10,7e8txt1y,,,,,1
1,zesobyns,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:38.787445+00:00,1,,,178,5,,1,178,60,,,0,,,,,,18,2,0,0.0,6,1,300,30,1,2,2,10,0,11,7e8txt1y,,,,,1
2,xfo625o4,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:40.223708+00:00,1,,,78,9,,0,78,60,,,0,,,,,,18,2,0,0.0,6,1,300,30,1,2,2,10,0,11,7e8txt1y,,,,,1
3,fw3a5te6,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:41.653585+00:00,1,,,108,2,,0,108,160,,,0,,,,,,48,2,0,0.0,6,1,300,30,1,2,2,10,0,11,7e8txt1y,,,,,1
4,63fthy0s,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.169341+00:00,1,,,138,6,,0,138,60,,,0,,,,,,18,2,0,0.0,6,1,300,30,1,2,2,10,0,11,7e8txt1y,,,,,1
5,1ri0c7o9,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:42.874761+00:00,1,,,108,8,,0,108,160,,,0,,,,,,48,2,0,0.0,6,1,300,30,1,2,2,10,0,11,7e8txt1y,,,,,1
6,24ugbmjx,,0,405,405,payment_info,PaymentInfo,2020-11-10 01:18:43.536371+00:00,1,,,78,4,,0,78,60,,,0,,,,,,18,2,0,0.0,6,1,300,30,1,2,2,10,0,11,7e8txt1y,,,,,1
